"Style","Status","Source","Output","CandidateCount"
"FT1407-3015","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1407-3015\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1407-3015.jpg","1"
"FT1408","no_scene_image_filename","","","0"
"FT1409","no_scene_image_filename","","","0"
"FT1410","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1410\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1410.jpg","1"
"FT1411","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1411\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1411.jpg","8"
"FT1413","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1413\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1413.jpg","6"
"FT1414","no_scene_image_filename","","","0"
"FT1415","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1415\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1415.jpg","6"
"FT1416","no_scene_image_filename","","","0"
"FT1417","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1417\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1417.jpg","3"
"FT1418","no_scene_image_filename","","","0"
"FT1419","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1419\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1419.jpg","7"
"FT1420","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1420\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1420.jpg","10"
"FT1421","no_scene_image_filename","","","0"
"FT1422","no_scene_image_filename","","","0"
"FT1423","no_scene_image_filename","","","0"
"FT1424","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1424\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1424.jpg","1"
"FT1425","no_scene_image_filename","","","0"
"FT1426","no_scene_image_filename","","","0"
"FT1427","no_scene_image_filename","","","0"
"FT1428","no_scene_image_filename","","","0"
"FT1430-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1430-20\场景2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1430-20.jpg","5"
"FT1431","no_scene_image_filename","","","0"
"FT1432","no_scene_image_filename","","","0"
"FT1433","no_scene_image_filename","","","0"
"FT1434-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1434-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1434-30.jpg","2"
"FT1435-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1435-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1435-30.jpg","1"
"FT1436-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1436-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1436-30.jpg","3"
"FT1437-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1437-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1437-30.jpg","1"
"FT1438-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1438-30\场景 1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1438-30.jpg","1"
"FT1439-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1439-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1439-30.jpg","1"
"FT1440-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1440-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1440-30.jpg","1"
"FT1441-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1441-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1441-30.jpg","1"
"FT1442-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1442-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1442-30.jpg","1"
